               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/dog_mAP,  metrics/person_mAP,     metrics/cat_mAP,      metrics/tv_mAP,     metrics/car_mAP,metrics/meatballs_mAP,metrics/marinara sauce_mAP,metrics/tomato soup_mAP,metrics/chicken noodle soup_mAP,metrics/french onion soup_mAP,metrics/chicken breast_mAP,    metrics/ribs_mAP,metrics/pulled pork_mAP,metrics/hamburger_mAP,  metrics/cavity_mAP,  metrics/Bishop_mAP,    metrics/King_mAP,       metrics/w_mAP,    metrics/Pawn_mAP,  metrics/Knight_mAP,    metrics/Rook_mAP,   metrics/Queen_mAP,       metrics/K_mAP,  metrics/dog_mAP_50,metrics/person_mAP_50,  metrics/cat_mAP_50,   metrics/tv_mAP_50,  metrics/car_mAP_50,metrics/meatballs_mAP_50,metrics/marinara sauce_mAP_50,metrics/tomato soup_mAP_50,metrics/chicken noodle soup_mAP_50,metrics/french onion soup_mAP_50,metrics/chicken breast_mAP_50, metrics/ribs_mAP_50,metrics/pulled pork_mAP_50,metrics/hamburger_mAP_50,metrics/cavity_mAP_50,metrics/Bishop_mAP_50, metrics/King_mAP_50,    metrics/w_mAP_50, metrics/Pawn_mAP_50,metrics/Knight_mAP_50, metrics/Rook_mAP_50,metrics/Queen_mAP_50,    metrics/K_mAP_50
                  20,             0.08823,             0.12349,            0.060594,            0.031525,             0.21145,            0.043982,            0.013124,             0.08191,            0.073508,            0.061541,            0.042972,           0.0049724,           0.0049724,                   0,            0.023004,            0.010585,            0.045158,                   0,                   0,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,            0.013124,                   0,            0.095982,             0.03427,             0.13364,                   0,                   0,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982,            0.043982
                  21,            0.085948,             0.11437,            0.058901,            0.035689,             0.14324,            0.064773,            0.027589,            0.081212,            0.064528,            0.060547,            0.040149,           0.0051487,           0.0051487,                   0,             0.11665,            0.019448,            0.029435,                   0,                   0,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,                   0,              0.2414,            0.048439,            0.098797,                   0,                   0,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773
                  22,            0.084156,             0.10397,            0.057965,            0.035689,             0.14324,            0.064773,            0.027589,            0.081212,            0.064528,            0.060547,            0.037319,            0.005319,            0.005319,                   0,             0.11665,            0.019448,            0.029435,                   0,                   0,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,            0.027589,                   0,              0.2414,            0.048439,            0.098797,                   0,                   0,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773,            0.064773
                  23,            0.078604,             0.10818,            0.056768,            0.030699,            0.069161,            0.049458,            0.015991,            0.069892,            0.062674,            0.060044,            0.034483,           0.0054833,           0.0054833,                   0,            0.055152,            0.020115,            0.020681,                   0,                   0,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,                   0,               0.207,             0.05163,            0.038117,                   0,                   0,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458
                  24,            0.074505,              0.1209,            0.050771,            0.030699,            0.069161,            0.049458,            0.015991,            0.069892,            0.062674,            0.060044,            0.031642,           0.0056418,           0.0056418,                   0,            0.055152,            0.020115,            0.020681,                   0,                   0,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,            0.015991,                   0,               0.207,             0.05163,            0.038117,                   0,                   0,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458,            0.049458
                  25,            0.076648,             0.11933,             0.05359,            0.042108,             0.19416,             0.09571,            0.027084,            0.085299,            0.067091,            0.060751,            0.028794,           0.0057942,           0.0057942,                   0,            0.069349,            0.017601,            0.075553,                   0,                   0,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,            0.027084,                   0,              0.2924,            0.038896,             0.24296,                   0,                   0,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571,             0.09571
                  26,            0.083903,             0.12307,            0.060521,            0.040894,             0.22997,             0.11244,            0.030422,            0.085299,            0.067091,            0.060751,            0.025941,           0.0059408,           0.0059408,                   0,            0.081692,            0.019738,            0.081104,                   0,                   0,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,            0.030422,                   0,             0.34383,            0.048931,             0.28187,                   0,                   0,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244,             0.11244
                  27,            0.080372,            0.089565,            0.058896,            0.045994,             0.25057,            0.074844,            0.033811,            0.071625,            0.049063,            0.058467,            0.023081,           0.0060814,           0.0060814,                   0,            0.065078,            0.075711,            0.040149,            0.021926,                   0,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,                   0,             0.13564,             0.16414,             0.10793,            0.041348,                   0,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844
                  28,            0.076237,             0.11021,            0.055825,            0.045994,             0.25057,            0.074844,            0.033811,            0.071625,            0.049063,            0.058467,            0.020216,           0.0062161,           0.0062161,                   0,            0.065078,            0.075711,            0.040149,            0.021926,                   0,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,                   0,             0.13564,             0.16414,             0.10793,            0.041348,                   0,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844
                  29,             0.07498,            0.082552,            0.049932,            0.045994,             0.25057,            0.074844,            0.033811,            0.071625,            0.049063,            0.058467,            0.017345,           0.0063448,           0.0063448,                   0,            0.065078,            0.075711,            0.040149,            0.021926,                   0,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,            0.033811,                   0,             0.13564,             0.16414,             0.10793,            0.041348,                   0,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844,            0.074844
